EnsembleGeneName	external_gene_name	MekDD_1_1	Aktmyr_1_2	ARPE19_1_3	RasV12_1_4	T53D4_1_5	MekDD_3_1	Aktmyr_3_2	ARPE19_3_3	RasV12_3_4	T53D4_3_5	RasV12_2_4	T53D4_2_5	MekDD_2_1	Aktmyr_2_2	ARPE19_2_3
CCND1_transgene	NA	10479	27093	5331	61955	5072	5002	23898	4436	51079	3214	105227	5104	10643	38379	9296
CDK4r24c_transgene	NA	4070	34588	1972	65876	2591	3618	26560	1959	52833	2213	99746	3807	5778	44281	2844
ENSG00000000003	TSPAN6	1062	1162	1600	803	1018	953	836	1103	756	719	1329	1410	1216	960	1625
ENSG00000000419	DPM1	1676	1395	1280	2028	1315	1094	1069	1113	1429	909	2705	1891	1677	1727	1621
ENSG00000000457	SCYL3	237	293	282	222	205	215	208	204	184	161	350	409	381	358	359
ENSG00000000460	C1orf112	491	363	275	641	420	331	477	429	392	391	904	891	642	629	529
ENSG00000000971	CFH	33	362	1207	95	238	90	412	369	132	255	197	615	98	512	611
ENSG00000001036	FUCA2	5224	6648	5498	6574	4880	6540	6882	7050	7467	5780	12283	10464	8729	11707	10930
ENSG00000001084	GCLC	964	1081	793	730	796	694	915	695	824	659	1418	1516	1345	1642	1223
ENSG00000001167	NFYA	832	956	782	1057	687	665	778	694	939	589	1886	1440	1240	1278	1060
ENSG00000001460	STPG1	973	1346	944	934	761	575	1013	862	748	731	1789	1518	1411	1964	1395
ENSG00000001461	NIPAL3	3554	6539	6031	2736	3220	3688	4590	5988	3190	4396	5936	7046	5453	8213	7489
ENSG00000001497	LAS1L	1861	1647	1893	1850	2173	1646	1631	2020	1567	1760	3370	3300	2800	3018	2598
ENSG00000001561	ENPP4	1173	1915	1121	458	824	576	817	611	322	521	718	1282	1050	1617	1198
ENSG00000001617	SEMA3F	1038	786	580	2954	448	836	496	437	2259	349	4343	444	1577	664	526
ENSG00000001626	CFTR	1	6	1	1	1	2	3	1	0	1	5	2	2	5	3
ENSG00000001629	ANKIB1	3085	4517	3484	2332	2542	2108	2759	2358	2055	1840	3450	4210	3413	4641	3816
ENSG00000001630	CYP51A1	192	237	186	214	369	152	109	129	160	162	184	254	228	189	173
ENSG00000001631	KRIT1	253	300	229	205	200	174	195	172	165	142	277	332	236	255	279
ENSG00000002016	RAD52	288	379	416	318	237	159	180	205	208	213	442	451	379	349	386
ENSG00000002330	BAD	654	699	665	558	653	535	551	432	461	437	649	693	739	791	625
ENSG00000002549	LAP3	1984	1695	1627	1656	1787	1648	1873	1893	1428	1657	2911	3090	2967	3074	2821
ENSG00000002586	CD99	1	3	1	0	1	3	3	0	0	0	1	3	3	4	1
ENSG00000002587	HS3ST1	385	195	244	322	208	279	152	160	232	141	576	338	469	211	311
ENSG00000002745	WNT16	0	2	0	0	1	2	1	0	1	0	1	2	2	1	2
ENSG00000002746	HECW1	1	12	1	8	1	11	22	2	16	1	25	5	10	27	6
ENSG00000002822	MAD1L1	0	3	3	4	4	6	2	2	1	0	2	3	4	2	4
ENSG00000002834	LASP1	13327	14338	17191	10005	12991	11917	10647	13256	7999	11010	16762	19340	16094	17797	21770
ENSG00000002919	SNX11	517	846	578	423	623	416	501	457	382	362	708	798	660	1079	652
ENSG00000003056	M6PR	3006	2885	2875	2623	2692	2355	2524	2778	2820	2251	4345	4572	3511	3914	3772
ENSG00000003096	KLHL13	238	768	719	114	379	446	461	508	88	452	227	1205	595	864	942
ENSG00000003137	CYP26B1	482	411	321	116	257	385	294	169	301	164	350	316	479	323	334
ENSG00000003147	ICA1	104	20	367	26	193	111	19	168	26	124	71	431	203	44	371
ENSG00000003249	DBNDD1	977	1262	2335	599	1354	660	642	1105	318	731	753	1650	1037	1584	2041
ENSG00000003393	ALS2	2414	2787	3072	1758	2482	1597	1652	2173	1315	1876	2460	4262	2792	3543	3315
ENSG00000003400	CASP10	1	35	14	2	14	2	20	3	4	4	7	26	3	54	9
ENSG00000003402	CFLAR	2512	4058	4851	1611	2596	1588	2045	2407	1532	1572	2562	3907	2747	4810	4167
ENSG00000003436	TFPI	4364	3066	5059	7946	2941	2732	3017	4942	6114	4160	8607	6435	3696	2882	5987
ENSG00000003509	NDUFAF7	514	573	553	475	415	398	377	375	349	315	685	810	623	775	643
ENSG00000003756	RBM5	1971	3174	3070	1739	2114	1576	1495	1419	1319	1350	2528	3208	2658	3447	2865
ENSG00000003987	MTMR7	52	85	60	50	38	31	48	55	30	20	44	67	71	80	64
ENSG00000003989	SLC7A2	0	0	1	4	3	1	0	3	1	2	7	0	3	0	3
ENSG00000004059	ARF5	2146	3434	3162	1671	2622	1768	1748	1528	1213	1448	2275	3635	2666	3522	2953
ENSG00000004139	SARM1	330	536	591	298	399	382	340	390	331	428	570	756	581	818	630
ENSG00000004142	POLDIP2	4074	3843	4115	3627	3964	3541	3747	3959	3090	3623	7440	8586	6465	8096	6910
ENSG00000004399	PLXND1	3178	4184	4636	805	6902	1237	1126	1401	910	1622	1204	4373	2365	3770	2692
ENSG00000004455	AK2	10757	8789	7657	7785	8039	5487	6981	6361	4505	5231	12532	11841	10199	14152	9287
ENSG00000004468	CD38	1	13	5	0	2	0	4	1	0	0	3	2	0	9	1
ENSG00000004478	FKBP4	3202	3482	3531	3592	3863	1812	2378	2704	1718	2085	5289	5210	4463	4875	4011
ENSG00000004487	KDM1A	4362	4579	4893	3207	4242	3121	2825	3112	2501	2646	4351	5822	5252	5344	5070
ENSG00000004534	RBM6	1686	2193	1821	1339	1408	963	996	982	1069	800	1626	1728	1784	2078	1615
ENSG00000004660	CAMKK1	119	152	114	153	100	121	164	72	91	52	181	109	152	206	91
ENSG00000004700	RECQL	1896	1540	953	2164	1333	1487	1664	1371	1982	1212	2459	2208	2134	1870	1733
ENSG00000004766	VPS50	759	1069	804	769	604	551	733	614	584	544	1018	1131	859	1231	941
ENSG00000004776	HSPB6	19	154	415	121	185	9	39	100	53	79	94	240	17	180	213
ENSG00000004777	ARHGAP33	312	594	336	330	234	166	233	191	154	159	360	367	288	525	186
ENSG00000004779	NDUFAB1	1659	1581	1134	1765	1134	1139	1253	1302	1207	1082	2638	1963	2014	1882	1743
ENSG00000004799	PDK4	271	218	264	104	136	142	116	143	57	124	62	230	177	147	209
ENSG00000004838	ZMYND10	91	321	86	52	59	89	104	46	30	66	81	127	104	159	86
ENSG00000004846	ABCB5	29	594	195	6	227	391	503	175	9	450	30	1761	316	1057	602
ENSG00000004848	ARX	5	2	17	0	3	9	1	5	0	4	0	13	11	4	19
ENSG00000004864	SLC25A13	1332	1321	1227	953	1501	1007	1465	1192	929	1037	1743	2512	1747	2537	2094
ENSG00000004866	ST7	721	744	594	680	543	386	456	454	421	408	897	938	764	786	727
ENSG00000004897	CDC27	5354	3497	3556	5158	3173	3810	3089	3474	4222	2498	6945	5163	6695	4217	4909
ENSG00000004961	HCCS	1358	1070	1094	1087	1259	879	943	975	822	811	1729	1815	1459	1578	1562
ENSG00000004975	DVL2	1602	1526	1458	1672	1430	1354	1029	1048	1050	1228	2029	2398	2119	1810	1416
ENSG00000005001	PRSS22	1	0	0	4	1	0	0	0	1	0	15	0	3	0	0
ENSG00000005007	UPF1	4746	4396	4480	4064	4681	2818	2729	2997	2999	2624	5866	6349	5792	5788	4827
ENSG00000005022	SLC25A5	9766	6680	6910	10707	8993	7656	7485	7943	7499	6959	18070	14920	14167	12145	11232
ENSG00000005059	MCUB	1595	1582	1106	1435	1158	886	1110	918	826	776	1629	1758	1772	1646	1246
ENSG00000005075	POLR2J	1175	1279	1252	1199	1163	676	846	782	732	929	1734	1701	1372	1621	1329
ENSG00000005100	DHX33	1471	977	1608	1290	1356	1060	716	1290	983	1205	2363	2822	2053	1816	2252
ENSG00000005108	THSD7A	31	73	34	38	18	36	33	37	42	31	78	103	95	72	67
ENSG00000005156	LIG3	730	1008	563	786	644	534	590	445	558	494	1273	1074	986	1279	809
ENSG00000005175	RPAP3	1368	1287	976	1360	948	985	1179	1054	1046	811	2129	1900	1880	1683	1579
ENSG00000005187	ACSM3	51	78	56	101	61	43	59	53	74	59	194	153	128	139	87
ENSG00000005189	REXO5	283	590	304	419	290	225	324	294	314	294	688	725	479	683	451
ENSG00000005194	CIAPIN1	1175	1104	1091	869	1381	822	942	1102	807	817	1540	1841	1504	1790	1689
ENSG00000005206	SPPL2B	787	1355	919	567	869	501	508	352	386	436	760	1010	760	1211	763
ENSG00000005238	FAM214B	905	2386	2585	1216	1223	848	1229	1304	1459	953	3046	2586	1457	2845	2644
ENSG00000005243	COPZ2	575	1164	669	235	580	409	522	343	241	262	497	735	730	1564	675
ENSG00000005249	PRKAR2B	287	99	41	280	33	333	244	91	225	85	341	104	453	126	101
ENSG00000005302	MSL3	1044	732	846	1038	798	668	538	695	726	574	1562	1361	1323	1003	1171
ENSG00000005339	CREBBP	1611	1780	2448	942	1887	1559	1488	1500	1086	1600	1789	2636	1955	2632	2152
ENSG00000005379	TSPOAP1	691	470	460	324	290	407	121	147	286	194	368	440	733	373	288
ENSG00000005436	GCFC2	745	599	830	664	729	530	513	644	552	486	1176	1193	866	942	999
ENSG00000005448	WDR54	3099	2608	2496	2490	2612	1817	1371	1454	1331	1337	3020	2361	2459	1956	2229
ENSG00000005469	CROT	354	552	351	316	270	286	436	359	345	236	527	518	539	756	542
ENSG00000005471	ABCB4	2	0	2	1	1	0	1	1	1	0	3	1	0	1	1
ENSG00000005483	KMT2E	2405	2570	2956	1556	1991	1838	2048	1803	1708	1644	2450	3067	2643	3022	2894
ENSG00000005486	RHBDD2	1114	1840	1499	965	1167	718	1154	826	1246	637	2196	1930	1328	2773	1679
ENSG00000005513	SOX8	2	22	30	5	21	3	0	1	0	6	0	18	7	6	21
ENSG00000005700	IBTK	2941	6272	2628	2921	2375	2439	3794	2434	2663	1850	5096	5253	4251	7878	4448
ENSG00000005801	ZNF195	560	428	700	460	555	359	282	446	358	328	862	786	671	530	831
ENSG00000005810	MYCBP2	1924	1590	1453	1450	1054	1400	1417	1397	1380	1140	2874	2602	2845	3245	2554
ENSG00000005812	FBXL3	2051	1780	1975	1556	1621	1538	1467	1683	1225	1328	1962	2428	2142	2022	2262
ENSG00000005844	ITGAL	1	0	4	0	1	0	0	0	3	1	3	1	0	0	0
ENSG00000005882	PDK2	530	957	900	421	586	522	546	510	406	573	764	1284	842	989	932
ENSG00000005884	ITGA3	66325	61392	77841	68966	57904	65420	40484	57067	70983	46966	124068	88880	92675	70796	103968
ENSG00000005889	ZFX	792	949	827	577	657	533	749	638	566	506	802	872	769	1122	882
ENSG00000005893	LAMP2	7788	14868	10737	5532	7406	5691	6977	6419	5378	4644	8041	11148	7626	13924	10519
ENSG00000005961	ITGA2B	18	52	31	10	22	11	18	14	5	12	7	26	28	48	36
ENSG00000006007	GDE1	3726	3964	3462	3332	3009	2186	3000	2807	2427	2022	5438	5057	4497	5278	4854
ENSG00000006015	REX1BD	566	514	551	618	542	403	391	395	471	370	901	715	659	706	460
ENSG00000006016	CRLF1	4	7	3	1	3	2	8	3	7	3	6	4	2	5	3
ENSG00000006025	OSBPL7	211	468	430	161	230	160	173	188	183	162	333	424	283	489	357
ENSG00000006042	TMEM98	3794	5890	7971	1110	5140	3077	1783	3460	861	3258	1691	9155	5088	5909	6303
ENSG00000006047	YBX2	2	109	15	5	11	0	6	3	0	0	1	4	0	40	3
ENSG00000006059	KRT33A	0	2	23	1	0	0	2	1	3	2	1	9	0	16	16
ENSG00000006062	MAP3K14	313	629	329	191	288	221	270	189	162	215	322	528	381	651	400
ENSG00000006118	TMEM132A	5737	14643	15479	3199	13641	3347	3589	7197	11262	6129	5452	13207	4121	10308	10549
ENSG00000006125	AP2B1	10486	14367	13622	7178	8747	7146	8373	8224	5194	6445	12590	15617	13886	20878	15866
ENSG00000006194	ZNF263	941	879	964	872	861	741	647	738	827	628	1549	1452	1289	1260	1166
ENSG00000006210	CX3CL1	3	6	0	0	0	0	2	0	1	0	0	1	2	6	0
ENSG00000006282	SPATA20	1883	2430	2888	1384	1896	1859	1498	1658	1390	1529	2849	4391	3144	3942	3478
ENSG00000006283	CACNA1G	7	2	2	1	4	0	1	0	10	3	8	2	2	3	8
ENSG00000006327	TNFRSF12A	11021	9335	9422	11252	10495	5133	4360	5060	7968	4937	16225	13878	10587	13624	9854
ENSG00000006377	DLX6	0	2	0	1	1	0	1	2	0	0	0	2	0	0	2
ENSG00000006432	MAP3K9	825	1326	1336	564	1021	623	683	798	540	605	949	1470	1098	1837	1357
ENSG00000006451	RALA	2921	2782	2981	2126	2958	2366	2333	2516	1831	2161	3589	5412	3626	3744	3981
ENSG00000006453	BAIAP2L1	873	753	952	409	986	388	392	511	295	443	745	1031	897	927	925
ENSG00000006459	KDM7A	599	725	394	368	323	179	256	148	288	88	572	335	342	721	314
ENSG00000006468	ETV1	2060	446	1074	2779	441	1923	411	1204	2127	834	4413	1344	3637	486	1737
ENSG00000006530	AGK	929	1277	846	882	692	532	763	625	554	562	1382	1342	1110	1748	1060
ENSG00000006534	ALDH3B1	1698	4746	4146	1829	1784	4630	4563	2734	1933	3567	2772	7297	4507	7661	4610
ENSG00000006555	TTC22	1	0	2	1	0	0	0	0	0	0	0	1	3	0	5
ENSG00000006576	PHTF2	1272	2395	1309	980	1210	881	1793	947	744	1016	1340	3043	1676	2987	1722
ENSG00000006606	CCL26	7	24	15	16	2	7	30	7	25	6	51	13	11	50	26
ENSG00000006607	FARP2	846	1191	1023	584	954	671	828	753	561	594	866	1171	900	1515	1055
ENSG00000006625	GGCT	510	545	339	578	540	368	506	414	456	428	768	828	695	694	485
ENSG00000006634	DBF4	1246	991	690	1519	954	716	966	852	787	729	2009	1589	1567	1198	1046
ENSG00000006638	TBXA2R	36	106	70	45	37	36	59	43	47	41	61	74	44	73	36
ENSG00000006652	IFRD1	1600	1901	994	1389	1851	1056	1717	733	1015	843	2479	2700	2220	3161	1265
ENSG00000006695	COX10	404	529	518	394	485	324	374	404	339	325	762	970	620	956	622
ENSG00000006704	GTF2IRD1	1654	3022	2887	1607	2192	1581	1535	1615	1168	1668	2482	4164	2614	3647	2832
ENSG00000006712	PAF1	2367	2331	2432	2131	2252	2349	2545	2269	1886	2187	3398	3729	3407	3207	3199
