EnsembleGeneName	external_gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000164362	TERT	21910.13375637	11.4944440832081	0.352106314725323	31.9347981361251	8.78397512097199e-224	1.31012988929297e-219
ENSG00000135446	CDK4	17119.3675705926	3.51493487734804	0.147890095062535	22.0767650191007	5.28596283246175e-108	1.97100339115418e-104
ENSG00000106689	LHX2	749.896432222787	-4.12358887985177	0.248149460080503	-15.6099025103465	6.23321612704003e-55	1.85936837069604e-51
ENSG00000185818	NAT8L	598.134200371258	-3.54915818191759	0.226332498254153	-14.5765995045612	3.9574379298712e-48	9.83753112067148e-45
ENSG00000156395	SORCS3	125.035570104547	-3.91034449076161	0.255261842719941	-14.339567762102	1.23824236083795e-46	2.63834068741401e-43
ENSG00000130294	KIF1A	292.73263662503	-7.45944575892593	0.52719926084924	-13.6749921601039	1.43222720754045e-42	2.67020860005823e-39
ENSG00000007237	GAS7	1235.16352002591	-3.94337915473317	0.271617261543438	-13.5977335672479	4.1303543863448e-42	6.84491507470363e-39
ENSG00000138759	FRAS1	1039.87136873249	-3.43677576746349	0.239914965031013	-13.2829386739237	2.90755476608225e-40	4.33661793361167e-37
ENSG00000142910	TINAGL1	502.366229943879	-3.81300694165178	0.280196940463184	-12.7160808243013	4.81406770256978e-37	6.5274381621662e-34
ENSG00000183873	SCN5A	1224.35590957623	-4.72524249905696	0.359079660652077	-12.4630910337001	1.18679784501196e-35	1.47509082152945e-32
ENSG00000109956	B3GAT1	159.727134346862	-4.94488567192479	0.383152719627463	-12.2533011810267	1.61294004208755e-34	1.71835719483827e-31
ENSG00000140945	CDH13	122.132656439339	-5.51009662249474	0.449650083610821	-11.6982000320219	1.30185618850995e-31	1.29447900344173e-28
ENSG00000163293	NIPAL1	431.755899061257	-1.9609449780345	0.148498486299612	-11.5216324466936	1.02647618835523e-30	9.56868271832393e-28
ENSG00000115828	QPCT	214.289167485397	-4.52448120019087	0.382611821351876	-11.1718482327282	5.60032778770103e-29	4.91346405609181e-26
ENSG00000087842	PIR	141.545580111042	2.89273079270561	0.242119583829489	10.9149815595534	9.77491359761407e-28	8.0996020171341e-25
ENSG00000117461	PIK3R3	312.565750197207	2.99516998955079	0.263322994560944	10.4251054645949	1.90447933183876e-25	1.49501627549343e-22
ENSG00000118257	NRP2	1831.85316266231	2.855133048905	0.252075547596081	10.3347312888888	4.90785663067886e-25	3.66003408232876e-22
ENSG00000119938	PPP1R3C	1629.09902815678	1.9114660089737	0.161082745780254	10.3143635957152	6.06819918542967e-25	4.30986623098493e-22
ENSG00000170011	MYRIP	289.281249621545	-3.46767789136242	0.312516774265263	-10.296016586397	7.34397037592786e-25	4.97887809804382e-22
ENSG00000140403	DNAJA4	89.1800512673878	-4.21278326573372	0.38513615980272	-10.2893046131103	7.87429792029798e-25	5.10631102092367e-22
ENSG00000003147	ICA1	141.673208162207	-3.55374904045225	0.323277970000334	-10.2195303949998	1.62124369734145e-24	1.00753540607699e-21
ENSG00000140937	CDH11	3563.78270631534	-2.61847511350784	0.237320774228386	-9.98005809313823	1.86357641323535e-23	1.06904777705405e-20
ENSG00000130147	SH3BP4	4114.20666823227	-2.43822032368095	0.219849635100543	-9.95325883838842	2.44057521888437e-23	1.34819182924668e-20
ENSG00000109743	BST1	162.942332696293	-2.83057337609671	0.261479347616553	-9.86912886091868	5.66544852252476e-23	3.0178630254806e-20
ENSG00000120875	DUSP4	3429.88435236672	-2.97083282864449	0.292708314567409	-9.29537253721539	1.466915857517e-20	7.54450000512621e-18
ENSG00000061918	GUCY1B1	401.320854654489	2.65206487412978	0.258904696227532	9.27779568748646	1.73020898685901e-20	8.60202234633404e-18
ENSG00000142208	AKT1	11610.3505854175	2.2056248183406	0.211162593303483	9.26122751073612	2.02095287981425e-20	9.57613897359989e-18
ENSG00000145526	CDH18	86.4247822650781	6.34136531049688	0.65785269312931	9.25946701156019	2.05455210965603e-20	9.57613897359989e-18
ENSG00000125845	BMP2	1216.16275029216	-1.96187656283606	0.185373451241003	-9.23474505855997	2.58901815998031e-20	1.17015775321535e-17
ENSG00000119946	CNNM1	119.061590692525	-2.71493787404491	0.269817012257535	-9.13559101933935	6.5050473991333e-20	2.85361123406098e-17
ENSG00000069020	MAST4	1043.43763782091	-2.14334826265447	0.207564898518718	-9.1217169963048	7.39434060461279e-20	3.15104543193714e-17
ENSG00000182389	CACNB4	69.9454190385767	3.91777177266115	0.403605235534551	9.08752278152041	1.013211789941e-19	4.19779273526946e-17
ENSG00000087303	NID2	1622.32899075863	3.00536855854241	0.306290298927762	8.99593806329547	2.3422334121149e-19	9.44173279505237e-17
ENSG00000198756	COLGALT2	317.721746374303	3.03259391324191	0.310929666419208	8.94927121392881	3.57836974291083e-19	1.4045101240925e-16
ENSG00000114378	HYAL1	599.955432235803	2.82678075602907	0.288787519081381	8.92275664899122	4.54823365672548e-19	1.69592262475151e-16
