external_gene_name	ensembl_gene_id
CFH	ENSG00000000971
SEMA3F	ENSG00000001617
ALS2	ENSG00000003393
CASP10	ENSG00000003400
CFLAR	ENSG00000003402
TFPI	ENSG00000003436
ZMYND10	ENSG00000004838
FARP2	ENSG00000006607
CAMK1G	ENSG00000008118
FAM76A	ENSG00000009780
UQCRC1	ENSG00000010256
PHF7	ENSG00000010318
NISCH	ENSG00000010322
LYPLA2	ENSG00000011009
CEP68	ENSG00000011523
SEMA3B	ENSG00000012171
LTF	ENSG00000012223
EHD3	ENSG00000013016
CLK1	ENSG00000013441
CHDH	ENSG00000016391
ATP1A2	ENSG00000018625
TTC27	ENSG00000018699
CPS1	ENSG00000021826
PLEKHO1	ENSG00000023902
GCLM	ENSG00000023909
SLAMF7	ENSG00000026751
TNFRSF1B	ENSG00000028137
IKZF2	ENSG00000030419
ARHGAP31	ENSG00000031081
LRRC7	ENSG00000033122
SLC4A7	ENSG00000033867
TMSB10	ENSG00000034510
SH3YL1	ENSG00000035115
CAPG	ENSG00000042493
EPHA3	ENSG00000044524
MAP4	ENSG00000047849
COL9A2	ENSG00000049089
PER3	ENSG00000049246
TNFRSF9	ENSG00000049249
LTBP1	ENSG00000049323
MRTO4	ENSG00000053372
SDCCAG8	ENSG00000054282
PTPRN	ENSG00000054356
KIF1B	ENSG00000054523
NOP58	ENSG00000055044
CCDC85A	ENSG00000055813
IL17RB	ENSG00000056736
LAMC2	ENSG00000058085
ATP2B4	ENSG00000058668
TARBP1	ENSG00000059588
PTPRU	ENSG00000060656
COL11A1	ENSG00000060718
GPC1	ENSG00000063660
CHI3L2	ENSG00000064886
CALCRL	ENSG00000064989
ANKRD44	ENSG00000065413
PDIA5	ENSG00000065485
MYLK	ENSG00000065534
ASB1	ENSG00000065802
MTHFD2	ENSG00000065911
TIE1	ENSG00000066056
NGEF	ENSG00000066248
SP100	ENSG00000067066
EVI5	ENSG00000067208
DNTTIP2	ENSG00000067334
PRKCZ	ENSG00000067606
REEP1	ENSG00000068615
ERLEC1	ENSG00000068912
NUCKS1	ENSG00000069275
KCNAB2	ENSG00000069424
MAP4K4	ENSG00000071054
MGAT4A	ENSG00000071073
LMCD1	ENSG00000071282
TRIB2	ENSG00000071575
LIMS2	ENSG00000072163
ASIC4	ENSG00000072182
SPEG	ENSG00000072195
DHRS9	ENSG00000073737
MGLL	ENSG00000074416
BCS1L	ENSG00000074582
ADD2	ENSG00000075340
FOSL2	ENSG00000075426
TMEM131	ENSG00000075568
ARHGAP15	ENSG00000075884
KIFAP3	ENSG00000075945
FMO4	ENSG00000076258
PLXNA2	ENSG00000076356
RAP1GAP	ENSG00000076864
DGKD	ENSG00000077044
RARB	ENSG00000077092
UBE2T	ENSG00000077152
PPP1R12B	ENSG00000077157
DNAJC10	ENSG00000077232
ACTN2	ENSG00000077522
CAPZB	ENSG00000077549
MAP2	ENSG00000078018
FAP	ENSG00000078098
TP73	ENSG00000078900
FKBP7	ENSG00000079150
OSBPL6	ENSG00000079156
SP140	ENSG00000079263
MKNK1	ENSG00000079277
CDC14A	ENSG00000079335
PGM1	ENSG00000079739
CRYBG3	ENSG00000080200
EPHA6	ENSG00000080224
SCTR	ENSG00000080293
MAGI3	ENSG00000081026
COL4A4	ENSG00000081052
PKP1	ENSG00000081277
DUSP12	ENSG00000081721
MPP4	ENSG00000082126
BZW1	ENSG00000082153
COBLL1	ENSG00000082438
KCNK2	ENSG00000082482
SERTAD4	ENSG00000082497
SEMA5B	ENSG00000082684
SMAP2	ENSG00000084070
EIF3I	ENSG00000084623
COL16A1	ENSG00000084636
MAPRE3	ENSG00000084764
WDFY1	ENSG00000085449
TTC39A	ENSG00000085831
ATG16L1	ENSG00000085978
USP40	ENSG00000085982
POMGNT1	ENSG00000085998
