Gene_symbol_ENTREZ_ID	Effect_size	p_value	q_value
GMFG (9535)	-2.184103605	2.00E-20	1.83E-18
CD53 (963)	-2.159591832	1.06E-22	1.78E-20
CD52 (1043)	-2.049893839	5.01E-21	5.30E-19
SLC38A5 (92745)	-2.046963127	2.06E-21	2.60E-19
SASH3 (54440)	-2.016204222	1.36E-23	2.81E-21
HCLS1 (3059)	-1.979265839	1.18E-16	4.50E-15
CYFIP2 (26999)	-1.967993282	7.89E-28	5.21E-25
GYPC (2995)	-1.944856648	2.94E-16	1.04E-14
CD79A (973)	-1.902838072	4.11E-18	2.26E-16
WAS (7454)	-1.896407807	4.43E-25	1.52E-22
LRMP (4033)	-1.893320049	3.02E-16	1.07E-14
DOCK2 (1794)	-1.870544153	8.70E-22	1.22E-19
IKZF1 (10320)	-1.868151105	4.46E-24	1.09E-21
PTPN7 (5778)	-1.867690006	1.71E-20	1.59E-18
MZB1 (51237)	-1.847836123	1.03E-15	3.13E-14
NCKAP1L (3071)	-1.816421839	5.27E-23	9.85E-21
CD48 (962)	-1.806204791	1.69E-18	1.00E-16
LAPTM5 (7805)	-1.805454065	3.10E-13	5.87E-12
CORO1A (11151)	-1.802646388	1.17E-14	2.83E-13
INPP5D (3635)	-1.795602245	9.08E-22	1.25E-19
SPN (6693)	-1.78614052	1.44E-20	1.38E-18
PTPRCAP (5790)	-1.778859763	1.37E-20	1.34E-18
CD79B (974)	-1.77497901	1.35E-17	6.42E-16
PTPRC (5788)	-1.765192683	2.72E-21	3.25E-19
RCSD1 (92241)	-1.760962519	1.33E-17	6.36E-16
APBB1IP (54518)	-1.741146442	1.40E-20	1.36E-18
MYO1G (64005)	-1.706066219	2.04E-20	1.86E-18
AEBP1 (165)	-1.701272835	1.26E-15	3.72E-14
TRIM22 (10346)	-1.699496055	7.63E-17	3.05E-15
WIPF1 (7456)	-1.642445675	6.15E-18	3.21E-16
RHOH (399)	-1.6304694	8.98E-20	6.99E-18
IFFO1 (25900)	-1.627574416	9.34E-23	1.61E-20
CLEC11A (6320)	-1.625916718	4.55E-16	1.52E-14
SRGN (5552)	-1.624070152	2.22E-09	1.97E-08
RASGRP2 (10235)	-1.621332974	1.53E-20	1.45E-18
HLA-DRA (3122)	-1.618395097	9.75E-09	7.65E-08
ITGA4 (3676)	-1.606087235	5.75E-15	1.50E-13
IL2RG (3561)	-1.588500421	4.06E-13	7.46E-12
CD37 (951)	-1.582489771	2.42E-17	1.09E-15
CXCR4 (7852)	-1.581007909	1.89E-12	3.04E-11
HLA-DPA1 (3113)	-1.564556618	1.32E-11	1.79E-10
ARHGAP15 (55843)	-1.556038876	2.63E-21	3.19E-19
SEPT1 (1731)	-1.54894613	5.30E-23	9.85E-21
ACAP1 (9744)	-1.548278287	8.98E-22	1.25E-19
P2RY8 (286530)	-1.545396337	5.73E-18	3.03E-16
ARHGEF6 (9459)	-1.536307737	4.77E-21	5.07E-19
BTK (695)	-1.526861727	2.29E-17	1.04E-15
CD248 (57124)	-1.513775573	1.61E-15	4.65E-14
JCHAIN (3512)	-1.513268689	1.67E-10	1.80E-09
ARHGAP30 (257106)	-1.506443602	1.71E-16	6.26E-15
FERMT3 (83706)	-1.505010532	4.88E-15	1.29E-13
ARHGAP9 (64333)	-1.499886836	1.37E-20	1.34E-18
CELF2 (10659)	-1.48697803	1.34E-17	6.37E-16
LSP1 (4046)	-1.484279195	9.54E-14	1.98E-12
LCP1 (3936)	-1.480755615	2.71E-08	1.96E-07
MYB (4602)	-1.476858752	2.65E-14	5.98E-13
MAP4K1 (11184)	-1.459687735	2.64E-16	9.43E-15
FLI1 (2313)	-1.458633867	1.37E-16	5.12E-15
RFTN1 (23180)	-1.455773621	5.88E-16	1.92E-14
ITGAL (3683)	-1.444686744	5.43E-17	2.22E-15
NCF4 (4689)	-1.434454453	4.26E-16	1.44E-14
HLA-DPB1 (3115)	-1.429639953	5.15E-11	6.15E-10
ACTA2 (59)	-1.420946147	1.23E-10	1.35E-09
NREP (9315)	-1.415181426	7.60E-13	1.32E-11
CARMIL2 (146206)	-1.405285522	5.53E-17	2.25E-15
RASAL3 (64926)	-1.398957232	4.52E-21	4.89E-19
TRAF3IP3 (80342)	-1.396837186	1.99E-17	9.17E-16
IGLL1 (3543)	-1.394364003	3.78E-13	7.04E-12
PLEK (5341)	-1.392024001	1.92E-15	5.46E-14
TBC1D10C (374403)	-1.375088868	2.11E-21	2.64E-19
DOK3 (79930)	-1.37384328	7.39E-19	4.75E-17
AIF1 (199)	-1.370663247	4.30E-13	7.83E-12
EMILIN1 (11117)	-1.364368533	4.15E-13	7.59E-12
KLHL6 (89857)	-1.364268141	4.32E-21	4.77E-19
SEPT6 (23157)	-1.353363336	3.81E-17	1.63E-15
TCL1A (8115)	-1.352741308	2.77E-12	4.31E-11
ELMO1 (9844)	-1.347665225	9.26E-14	1.93E-12
CD74 (972)	-1.347131663	6.22E-06	2.80E-05
SPI1 (6688)	-1.340097366	8.97E-16	2.77E-14
ICAM2 (3384)	-1.335044285	1.80E-12	2.90E-11
RASSF2 (9770)	-1.334932549	8.89E-20	6.95E-18
DCN (1634)	-1.334059765	1.14E-08	8.81E-08
BLK (640)	-1.331708692	4.10E-17	1.72E-15
ARHGAP4 (393)	-1.323356307	8.00E-11	9.12E-10
HVCN1 (84329)	-1.309479177	2.99E-21	3.56E-19
LYL1 (4066)	-1.307528497	8.66E-17	3.41E-15
TCF4 (6925)	-1.302332863	6.93E-13	1.21E-11
LPXN (9404)	-1.298064991	1.88E-13	3.70E-12
GPX7 (2882)	-1.296398778	1.56E-13	3.12E-12
CD38 (952)	-1.292091838	1.90E-15	5.43E-14
LIMD2 (80774)	-1.283402157	2.59E-13	4.97E-12
HLA-DQA1 (3117)	-1.278016573	2.37E-11	3.03E-10
TMC8 (147138)	-1.276990284	1.06E-12	1.80E-11
LAT2 (7462)	-1.275484809	1.41E-10	1.54E-09
LCP2 (3937)	-1.273148781	2.26E-14	5.18E-13
HCST (10870)	-1.272400827	8.92E-19	5.63E-17
IL16 (3603)	-1.269940761	3.93E-17	1.66E-15
PARVG (64098)	-1.262861618	8.14E-15	2.06E-13
POU2AF1 (5450)	-1.260793799	2.77E-11	3.48E-10
DOCK8 (81704)	-1.259531768	1.32E-15	3.89E-14
VIM (7431)	-1.257627412	7.72E-05	0.000276702
MFNG (4242)	-1.252461186	1.95E-10	2.07E-09
TESPA1 (9840)	-1.252121338	6.77E-22	9.81E-20
THY1 (7070)	-1.242626626	7.80E-06	3.44E-05
ZEB2 (9839)	-1.241062468	6.72E-11	7.87E-10
LAIR1 (3903)	-1.237090391	1.56E-12	2.55E-11
SH2D3C (10044)	-1.236825049	8.30E-19	5.26E-17
GPSM3 (63940)	-1.233614011	9.91E-14	2.04E-12
TSPOAP1 (9256)	-1.232194108	2.24E-15	6.31E-14
S1PR4 (8698)	-1.231629193	7.13E-16	2.27E-14
ALOX5AP (241)	-1.231130989	3.13E-11	3.89E-10
EVI2B (2124)	-1.229650277	1.45E-15	4.26E-14
RPS4Y1 (6192)	-1.222895115	0.000106134	0.000368753
SIT1 (27240)	-1.218394623	4.78E-17	1.99E-15
PPP1R16B (26051)	-1.212206856	2.60E-18	1.50E-16
AGAP2 (116986)	-1.207830088	8.42E-24	1.83E-21
DOCK11 (139818)	-1.206174152	2.08E-23	4.23E-21
NRROS (375387)	-1.205958852	1.01E-13	2.08E-12
XYLT1 (64131)	-1.203117266	8.72E-17	3.43E-15
CCDC69 (26112)	-1.195961235	8.82E-14	1.84E-12
GNG2 (54331)	-1.189957618	4.88E-11	5.84E-10
RAB33A (9363)	-1.181126484	9.61E-20	7.39E-18
FAM129C (199786)	-1.179809808	3.64E-15	9.84E-14
EIF1AY (9086)	-1.171321164	1.20E-08	9.24E-08
PLEKHO1 (51177)	-1.163784134	1.13E-14	2.75E-13
COL1A2 (1278)	-1.158083689	0.000286812	0.000901301
PRKCB (5579)	-1.157454083	2.12E-14	4.91E-13
FAM78A (286336)	-1.153354502	9.83E-20	7.53E-18
MEF2C (4208)	-1.151722709	1.90E-10	2.02E-09
EVI2A (2123)	-1.150487629	8.50E-14	1.78E-12
WDFY4 (57705)	-1.150228014	1.99E-17	9.17E-16
VPREB3 (29802)	-1.148904685	8.08E-11	9.20E-10
SNRPN (6638)	-1.148316621	6.55E-08	4.39E-07
RAC2 (5880)	-1.143156966	8.43E-07	4.52E-06
SLC17A9 (63910)	-1.141775125	5.07E-09	4.18E-08
CD19 (930)	-1.138372109	1.31E-12	2.16E-11
CYTIP (9595)	-1.136723661	8.65E-15	2.17E-13
RIPOR2 (9750)	-1.134732621	1.33E-14	3.17E-13
AKNA (80709)	-1.132664765	1.91E-20	1.76E-18
ZEB1 (6935)	-1.132044694	7.43E-15	1.91E-13
BCL2 (596)	-1.13201731	2.49E-16	8.96E-15
IGLL5 (100423062)	-1.131286108	6.14E-10	6.01E-09
HLA-DRB1 (3123)	-1.131142727	3.28E-06	1.56E-05
ANXA6 (309)	-1.130882336	5.58E-08	3.79E-07
SH3BGRL (6451)	-1.130488347	2.99E-14	6.67E-13
SELPLG (6404)	-1.127186403	4.09E-12	6.11E-11
MS4A1 (931)	-1.122723842	7.63E-11	8.77E-10
SEC31B (25956)	-1.118017516	1.82E-27	1.06E-24
ITPRIPL1 (150771)	-1.116140232	1.16E-14	2.82E-13
FCRLA (84824)	-1.115615237	9.20E-11	1.04E-09
PIK3CG (5294)	-1.113545864	3.87E-19	2.64E-17
PDGFRB (5159)	-1.107488522	2.34E-10	2.45E-09
TRPV2 (51393)	-1.106932102	9.37E-10	8.91E-09
ANKLE1 (126549)	-1.10492832	3.05E-17	1.34E-15
RPL22L1 (200916)	-1.104133205	4.89E-24	1.19E-21
C1orf54 (79630)	-1.101799176	1.08E-22	1.79E-20
NCF1 (653361)	-1.101463326	7.93E-12	1.12E-10
CD72 (971)	-1.096418388	2.56E-17	1.14E-15
PIK3AP1 (118788)	-1.086570647	3.98E-11	4.85E-10
BTG2 (7832)	-1.083373822	9.88E-13	1.68E-11
PXK (54899)	-1.081900037	4.26E-24	1.06E-21
DDX3Y (8653)	-1.074631431	1.40E-07	8.84E-07
HLA-DOA (3111)	-1.073332794	8.01E-15	2.04E-13
LEF1 (51176)	-1.072264085	1.31E-06	6.79E-06
TTLL3 (26140)	-1.071255134	2.95E-28	2.26E-25
CXorf21 (80231)	-1.065490143	1.89E-15	5.39E-14
SLC43A1 (8501)	-1.063040028	1.35E-12	2.23E-11
EVL (51466)	-1.053523806	2.08E-10	2.19E-09
STAP1 (26228)	-1.050192681	1.26E-17	6.04E-16
CLECL1 (160365)	-1.048217793	4.51E-14	9.80E-13
IRF8 (3394)	-1.044985365	4.56E-09	3.79E-08
SNURF (8926)	-1.042936168	7.96E-09	6.36E-08
PAX5 (5079)	-1.041576432	5.35E-11	6.37E-10
APOBEC3G (60489)	-1.033876442	2.46E-11	3.13E-10
DTX1 (1840)	-1.032983787	1.25E-09	1.16E-08
EBF1 (1879)	-1.032498615	1.31E-14	3.13E-13
GRAP (10750)	-1.031330468	1.06E-16	4.10E-15
DOK1 (1796)	-1.027192956	3.78E-20	3.24E-18
ADA2 (51816)	-1.026021016	4.31E-15	1.15E-13
COL6A3 (1293)	-1.025382551	6.10E-05	0.000223219
LY86 (9450)	-1.015805614	1.15E-13	2.34E-12
SLC9B2 (133308)	-1.010576376	1.90E-24	5.27E-22
IFITM2 (10581)	-1.009384224	1.64E-05	6.77E-05
HLA-DRB5 (3127)	-1.007489985	8.80E-08	5.74E-07
MICAL1 (64780)	-1.006208634	5.13E-18	2.75E-16
CD69 (969)	-1.006077927	8.53E-13	1.47E-11
CD4 (920)	-1.005502853	6.23E-14	1.33E-12
PDE1B (5153)	-1.001706673	5.41E-20	4.46E-18
SSBP2 (23635)	-0.997738313	2.02E-12	3.21E-11
CSF2RB (1439)	-0.988899553	9.85E-17	3.83E-15
ITGB2 (3689)	-0.988013739	3.74E-07	2.17E-06
MOB3A (126308)	-0.987617477	2.23E-25	8.04E-23
ATF5 (22809)	-0.987294577	3.40E-16	1.19E-14
DDR2 (4921)	-0.986795011	7.27E-08	4.83E-07
HLA-DMB (3109)	-0.986099447	1.27E-08	9.75E-08
ELN (2006)	-0.985750522	5.74E-07	3.17E-06
PIK3CD (5293)	-0.981297923	2.59E-11	3.27E-10
MFAP4 (4239)	-0.977039011	1.17E-08	9.07E-08
ZAP70 (7535)	-0.975241388	3.41E-11	4.22E-10
IRF4 (3662)	-0.97475676	3.10E-08	2.22E-07
TNFAIP8L2 (79626)	-0.974613377	1.94E-19	1.43E-17
COL3A1 (1281)	-0.973587385	0.00031815	0.000989709
JAK3 (3718)	-0.971849136	6.06E-18	3.17E-16
ITM2A (9452)	-0.971643193	5.47E-08	3.73E-07
IL21R (50615)	-0.970310309	8.81E-16	2.74E-14
SHANK1 (50944)	-0.969671757	1.93E-12	3.09E-11
SPIB (6689)	-0.969515088	4.32E-11	5.23E-10
LMO2 (4005)	-0.968853972	2.75E-09	2.39E-08
BIN2 (51411)	-0.966781325	1.21E-11	1.64E-10
SLC43A3 (29015)	-0.965335779	1.51E-05	6.28E-05
NLRC3 (197358)	-0.964843952	3.77E-22	5.64E-20
CD70 (970)	-0.96078485	2.88E-05	0.00011258
PLCB2 (5330)	-0.956781883	7.15E-11	8.28E-10
CPXM1 (56265)	-0.953064429	2.49E-10	2.58E-09
MAP1A (4130)	-0.952184924	1.03E-09	9.70E-09
CERKL (375298)	-0.948666592	1.10E-12	1.85E-11
VAV1 (7409)	-0.947208337	5.52E-07	3.07E-06
UBA7 (7318)	-0.946802138	1.40E-09	1.28E-08
ATP8A1 (10396)	-0.94638412	1.00E-12	1.70E-11
FES (2242)	-0.945914486	7.88E-12	1.11E-10
GNGT2 (2793)	-0.945047933	8.34E-13	1.44E-11
ME2 (4200)	-0.942903673	9.50E-29	8.09E-26
PALD1 (27143)	-0.937978576	2.49E-11	3.16E-10
CIITA (4261)	-0.93783843	7.90E-11	9.02E-10
P2RX1 (5023)	-0.936874041	5.77E-14	1.24E-12
PTK2B (2185)	-0.935541326	3.59E-09	3.06E-08
DOCK10 (55619)	-0.9350181	1.52E-08	1.14E-07
LST1 (7940)	-0.93216484	9.69E-11	1.09E-09
POU2F2 (5452)	-0.92489626	7.60E-12	1.08E-10
FAS (355)	-0.920485671	3.05E-11	3.80E-10
CBFA2T3 (863)	-0.919542766	1.07E-09	1.00E-08
PPP3CC (5533)	-0.917291708	3.47E-28	2.56E-25
A1BG (1)	-0.915615356	1.77E-07	1.09E-06
SAMSN1 (64092)	-0.914803716	9.85E-14	2.03E-12
CD84 (8832)	-0.914532744	1.28E-18	7.81E-17
LDLRAD4 (753)	-0.913810901	8.81E-11	9.95E-10
HSH2D (84941)	-0.913463595	5.37E-07	3.00E-06
KIF21B (23046)	-0.910491609	1.54E-10	1.68E-09
ABI3 (51225)	-0.909044149	2.09E-17	9.59E-16
STAT5A (6776)	-0.909014009	1.52E-09	1.39E-08
SNX20 (124460)	-0.907726009	1.65E-17	7.70E-16
PARP15 (165631)	-0.906592179	6.13E-16	1.98E-14
ARHGDIB (397)	-0.906320541	0.000618951	0.001797511
ITGB7 (3695)	-0.906310796	2.32E-08	1.69E-07
FCHO1 (23149)	-0.905642434	6.87E-10	6.67E-09
LIX1L (128077)	-0.90523884	4.64E-12	6.85E-11
PLCG2 (5336)	-0.900375197	2.53E-08	1.84E-07
ATP2A3 (489)	-0.898800065	2.00E-05	8.12E-05
NKG7 (4818)	-0.897751344	2.28E-12	3.58E-11
DUSP2 (1844)	-0.897006611	1.25E-10	1.38E-09
SYNE1 (23345)	-0.896590156	9.86E-10	9.30E-09
GCSAM (257144)	-0.8955775	5.77E-10	5.67E-09
SOCS2 (8835)	-0.89265625	3.38E-09	2.89E-08
